,order_id,client_id,product_id,datetime,units,price,payment_method,installments,delivery_days,delivery_state,device,source,has_installments,has_delivery_days,birthdate,state,gender
0,ox036927,cx12525,px09033,2019-01-09 17:49:00,1.0,103.98,pm05,0.0,,st07,dv9,sc08,1,0,1932-04-19,st15,cg1
1,ox036927,cx12525,px10504,2019-01-09 17:49:00,1.0,126.74,pm05,0.0,,st07,dv9,sc08,1,0,1932-04-19,st15,cg1
2,ox036927,cx12525,px03793,2019-01-09 17:49:00,1.0,50.97,pm05,0.0,,st07,dv9,sc08,1,0,1932-04-19,st15,cg1
3,ox036927,cx12525,px04284,2019-01-09 17:49:00,1.0,86.5,pm05,0.0,,st07,dv9,sc08,1,0,1932-04-19,st15,cg1
4,ox109415,cx12525,px04031,2019-11-13 14:56:00,1.0,9.9,pm05,0.0,,st07,dv9,sc08,1,0,1932-04-19,st15,cg1
5,ox039700,cx32280,px02284,2019-02-05 10:30:00,1.0,102.99,pm05,0.0,,st07,dv9,sc08,1,0,1983-03-01,st15,cg1
6,ox012893,cx32280,px08351,2019-05-10 15:44:00,1.0,273.22,pm05,0.0,,st07,dv9,sc08,1,0,1983-03-01,st15,cg1
7,ox038317,cx32280,px12043,2019-09-06 09:30:00,2.0,15.0,pm05,0.0,,st07,dv9,sc08,1,0,1983-03-01,st15,cg1
8,ox083030,cx32280,px09221,2019-12-05 15:12:00,1.0,529.0,pm05,0.0,8.0,st07,dv9,sc08,1,1,1983-03-01,st15,cg1
9,ox013255,cx00471,px10138,2019-02-09 13:48:00,0.8922100000000001,-408.88,pm05,0.0,,st07,dv9,sc08,1,0,1964-08-30,st15,cg2
10,ox013255,cx00471,px10138,2019-02-09 13:48:00,0.10779,-408.88,pm05,0.0,,st07,dv9,sc08,1,0,1964-08-30,st15,cg2
11,ox013255,cx00471,px10138,2019-02-09 11:15:00,1.0,408.88,pm05,0.0,,st07,dv9,sc08,1,0,1964-08-30,st15,cg2
12,ox066435,cx00471,px08888,2019-02-09 13:48:00,1.0,200.0,pm05,0.0,5.0,st07,dv9,sc08,1,1,1964-08-30,st15,cg2
13,ox066435,cx00471,px06257,2019-02-09 13:48:00,1.0,200.0,pm05,0.0,5.0,st07,dv9,sc08,1,1,1964-08-30,st15,cg2
14,ox066435,cx00471,px03579,2019-02-09 13:48:00,1.0,80.1,pm05,0.0,5.0,st07,dv9,sc08,1,1,1964-08-30,st15,cg2
15,ox031045,cx00471,px11432,2019-03-29 19:27:00,4.0,202.45,pm05,0.0,5.0,st07,dv9,sc08,1,1,1964-08-30,st15,cg2
